"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-01,13728,yandex,cpc,freemium,21654,13728,3300,218434920
2023-06-01,7275,yandex,cpc,prof-frontend,57138,7275,1261,115536700
2023-06-01,5610,yandex,cpc,prof-python,33026,5610,765,70672230
2023-06-01,5720,vk,cpc,freemium-frontend,3160,5720,650,43950790
2023-06-01,4158,vk,cpc,prof-python,2028,4158,495,35200836
2023-06-01,2088,vk,cpc,prof-java,3115,2088,174,20247162
2023-06-01,3328,yandex,cpc,prof-java,29490,3328,256,18213760
2023-06-01,1073,yandex,cpc,base-python,12524,1073,259,17612777
2023-06-01,2268,yandex,cpc,base-frontend,18061,2268,162,14499810
2023-06-01,325,yandex,cpc,prof-professions-brand,4818,325,75,3857175
